pr	round1	round2	score_r2	final	note
4526	PRESENT	-	-	PRESENT	round1 content match >=0.70
4528	PRESENT	-	-	PRESENT	round1 content match >=0.70
4537	PRESENT	-	-	PRESENT	round1 content match >=0.70
4539	PRESENT	-	-	PRESENT	round1 content match >=0.70
4540	PRESENT	-	-	PRESENT	round1 content match >=0.70
4541	PRESENT	-	-	PRESENT	round1 content match >=0.70
4543	PRESENT	-	-	PRESENT	round1 content match >=0.70
4547	PRESENT	-	-	PRESENT	round1 content match >=0.70
4553	PRESENT	-	-	PRESENT	round1 content match >=0.70
4556	UNCERTAIN	PARTIAL	0.72	DEFERRED	PARTIAL/uncertain; needs per-PR review
4558	PRESENT	-	-	PRESENT	round1 content match >=0.70
4565	PRESENT	-	-	PRESENT	round1 content match >=0.70
4569	PRESENT	-	-	PRESENT	round1 content match >=0.70
4570	PRESENT	-	-	PRESENT	round1 content match >=0.70
4571	PRESENT	-	-	PRESENT	round1 content match >=0.70
4572	PRESENT	-	-	PRESENT	round1 content match >=0.70
4573	PRESENT	-	-	PRESENT	round1 content match >=0.70
4574	UNCERTAIN	PARTIAL	0.69	DEFERRED	PARTIAL/uncertain; needs per-PR review
4575	ABSENT	PARTIAL	0.37	DEFERRED	PARTIAL/uncertain; needs per-PR review
4581	ABSENT	ABSENT	0.12	MERGED	genuinely absent; cherry-picked this round
4583	PRESENT	-	-	PRESENT	round1 content match >=0.70
4585	PRESENT	-	-	PRESENT	round1 content match >=0.70
4587	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
4588	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
4589	PRESENT	-	-	PRESENT	round1 content match >=0.70
4590	PRESENT	-	-	PRESENT	round1 content match >=0.70
4591	PRESENT	-	-	PRESENT	round1 content match >=0.70
4595	PRESENT	-	-	PRESENT	round1 content match >=0.70
4601	PRESENT	-	-	PRESENT	round1 content match >=0.70
4602	PRESENT	-	-	PRESENT	round1 content match >=0.70
4604	PRESENT	-	-	PRESENT	round1 content match >=0.70
4606	PRESENT	-	-	PRESENT	round1 content match >=0.70
4611	PRESENT	-	-	PRESENT	round1 content match >=0.70
4612	PRESENT	-	-	PRESENT	round1 content match >=0.70
4614	PRESENT	-	-	PRESENT	round1 content match >=0.70
4616	PRESENT	-	-	PRESENT	round1 content match >=0.70
4617	PRESENT	-	-	PRESENT	round1 content match >=0.70
4618	PRESENT	-	-	PRESENT	round1 content match >=0.70
4619	PRESENT	-	-	PRESENT	round1 content match >=0.70
4620	PRESENT	-	-	PRESENT	round1 content match >=0.70
4625	PRESENT	-	-	PRESENT	round1 content match >=0.70
4626	PRESENT	-	-	PRESENT	round1 content match >=0.70
4629	PRESENT	-	-	PRESENT	round1 content match >=0.70
4630	PRESENT	-	-	PRESENT	round1 content match >=0.70
4638	PRESENT	-	-	PRESENT	round1 content match >=0.70
4641	PRESENT	-	-	PRESENT	round1 content match >=0.70
4645	PRESENT	-	-	PRESENT	round1 content match >=0.70
4648	PRESENT	-	-	PRESENT	round1 content match >=0.70
4649	PRESENT	-	-	PRESENT	round1 content match >=0.70
4650	PRESENT	-	-	PRESENT	round1 content match >=0.70
4652	PRESENT	-	-	PRESENT	round1 content match >=0.70
4654	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
4657	PRESENT	-	-	PRESENT	round1 content match >=0.70
4658	PRESENT	-	-	PRESENT	round1 content match >=0.70
4659	PRESENT	-	-	PRESENT	round1 content match >=0.70
4660	PRESENT	-	-	PRESENT	round1 content match >=0.70
4661	PRESENT	-	-	PRESENT	round1 content match >=0.70
4662	PRESENT	-	-	PRESENT	round1 content match >=0.70
4664	PRESENT	-	-	PRESENT	round1 content match >=0.70
4666	PRESENT	-	-	PRESENT	round1 content match >=0.70
4667	PRESENT	-	-	PRESENT	round1 content match >=0.70
4670	PRESENT	-	-	PRESENT	round1 content match >=0.70
4671	PRESENT	-	-	PRESENT	round1 content match >=0.70
4674	PRESENT	-	-	PRESENT	round1 content match >=0.70
4676	PRESENT	-	-	PRESENT	round1 content match >=0.70
4679	PRESENT	-	-	PRESENT	round1 content match >=0.70
4684	PRESENT	-	-	PRESENT	round1 content match >=0.70
4689	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
4696	PRESENT	-	-	PRESENT	round1 content match >=0.70
4697	PRESENT	-	-	PRESENT	round1 content match >=0.70
4700	PRESENT	-	-	PRESENT	round1 content match >=0.70
4701	UNCERTAIN	PARTIAL	0.70	DEFERRED	PARTIAL/uncertain; needs per-PR review
4709	PRESENT	-	-	PRESENT	round1 content match >=0.70
4716	PRESENT	-	-	PRESENT	round1 content match >=0.70
4719	PRESENT	-	-	PRESENT	round1 content match >=0.70
4893	PRESENT	-	-	PRESENT	round1 content match >=0.70
4953	PRESENT	-	-	PRESENT	round1 content match >=0.70
4983	PRESENT	-	-	PRESENT	round1 content match >=0.70
5117	PRESENT	-	-	PRESENT	round1 content match >=0.70
5226	PRESENT	-	-	PRESENT	round1 content match >=0.70
5395	UNCERTAIN	PARTIAL	0.40	DEFERRED	PARTIAL/uncertain; needs per-PR review
5567	PRESENT	-	-	PRESENT	round1 content match >=0.70
5581	PRESENT	-	-	PRESENT	round1 content match >=0.70
5609	PRESENT	-	-	PRESENT	round1 content match >=0.70
5620	ABSENT	ABSENT	0.21	MERGED	genuinely absent; cherry-picked this round
5623	UNCERTAIN	ABSENT	0.24	DEFERRED	partial; needs per-file review
5636	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
5661	PRESENT	-	-	PRESENT	round1 content match >=0.70
5666	PRESENT	-	-	PRESENT	round1 content match >=0.70
5668	PRESENT	-	-	PRESENT	round1 content match >=0.70
5669	PRESENT	-	-	PRESENT	round1 content match >=0.70
5690	NO_SIGNAL	ABSENT	0.00	SUPERSEDED	Go toolchain PR; main already on go1.27.0 - merging would downgrade
5697	PRESENT	-	-	PRESENT	round1 content match >=0.70
5703	PRESENT	-	-	PRESENT	round1 content match >=0.70
5711	PRESENT	-	-	PRESENT	round1 content match >=0.70
5712	PRESENT	-	-	PRESENT	round1 content match >=0.70
5714	PRESENT	-	-	PRESENT	round1 content match >=0.70
5715	PRESENT	-	-	PRESENT	round1 content match >=0.70
5716	PRESENT	-	-	PRESENT	round1 content match >=0.70
5720	PRESENT	-	-	PRESENT	round1 content match >=0.70
5725	PRESENT	-	-	PRESENT	round1 content match >=0.70
5729	PRESENT	-	-	PRESENT	round1 content match >=0.70
5730	PRESENT	-	-	PRESENT	round1 content match >=0.70
5737	PRESENT	-	-	PRESENT	round1 content match >=0.70
5738	PRESENT	-	-	PRESENT	round1 content match >=0.70
5742	PRESENT	-	-	PRESENT	round1 content match >=0.70
5749	NO_SIGNAL	EMPTY_DIFF		DEFERRED	PARTIAL/uncertain; needs per-PR review
5755	PRESENT	-	-	PRESENT	round1 content match >=0.70
5759	PRESENT	-	-	PRESENT	round1 content match >=0.70
5760	PRESENT	-	-	PRESENT	round1 content match >=0.70
5762	PRESENT	-	-	PRESENT	round1 content match >=0.70
5764	PRESENT	-	-	PRESENT	round1 content match >=0.70
5765	PRESENT	-	-	PRESENT	round1 content match >=0.70
5767	PRESENT	-	-	PRESENT	round1 content match >=0.70
5773	PRESENT	-	-	PRESENT	round1 content match >=0.70
5780	PRESENT	-	-	PRESENT	round1 content match >=0.70
5782	PRESENT	-	-	PRESENT	round1 content match >=0.70
5794	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
5801	PRESENT	-	-	PRESENT	round1 content match >=0.70
5810	PRESENT	-	-	PRESENT	round1 content match >=0.70
5815	PRESENT	-	-	PRESENT	round1 content match >=0.70
5816	PRESENT	-	-	PRESENT	round1 content match >=0.70
5817	PRESENT	-	-	PRESENT	round1 content match >=0.70
5822	PRESENT	-	-	PRESENT	round1 content match >=0.70
5837	PRESENT	-	-	PRESENT	round1 content match >=0.70
5839	PRESENT	-	-	PRESENT	round1 content match >=0.70
5844	PRESENT	-	-	PRESENT	round1 content match >=0.70
5845	PRESENT	-	-	PRESENT	round1 content match >=0.70
5847	PRESENT	-	-	PRESENT	round1 content match >=0.70
5926	ABSENT	PARTIAL	0.36	MERGED	genuinely absent; cherry-picked this round
6065	UNCERTAIN	PARTIAL	0.57	DEFERRED	PARTIAL/uncertain; needs per-PR review
6188	ABSENT	ABSENT	0.14	MERGED	genuinely absent; cherry-picked this round
6200	UNCERTAIN	PARTIAL	0.37	DEFERRED	PARTIAL/uncertain; needs per-PR review
